# Rime user dictionary
#@/db_name	wubi98
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	729
#@/user_id	253d3463-b37f-4227-8d21-72cdb331e133
a 	工	c=1 d=1 t=471
jykt 	影响	c=1 d=1 t=190
k 	中	c=13 d=2.60388 t=982
kb 	啊	c=1 d=1 t=812
kc 	吧	c=1 d=1 t=556
kcg 	吗	c=2 d=1.99501 t=549
kej 	别	c=1 d=1 t=670
kg 	号	c=4 d=2.36957 t=700
khv 	跟	c=2 d=1.08374 t=1014
kkd 	器	c=2 d=1.0293 t=715
kkh 	串	c=2 d=1.956 t=595
km 	员	c=2 d=1.90937 t=193
kngb 	哪	c=3 d=2.898 t=97
knx 	呢	c=1 d=1 t=577
kw 	只	c=1 d=1 t=813
kwfk 	啥	c=2 d=1.57407 t=738
kwyg 	唯	c=3 d=1.09964 t=664
lfo 	黑	c=1 d=1 t=699
lfod 	默	c=1 d=1 t=462
lh 	四	c=1 d=1 t=27
lp 	连	c=4 d=3.2305 t=916
lqw 	软	c=11 d=6.52547 t=1019
ltu 	图	c=3 d=2.9218 t=689
lw 	界	c=4 d=1.97239 t=900
lwg 	输	c=4 d=1.31985 t=723
m 	同	c=1 d=1 t=15
mfk 	周	c=2 d=1.96079 t=560
mg 	赋	c=1 d=1 t=591
mhny 	贝	c=1 d=1 t=540
mj 	则	c=1 d=1 t=409
mmbw 	删除	c=2 d=1.23693 t=509
mrj 	刚	c=1 d=1 t=751
mw 	内	c=2 d=1.22202 t=548
nae 	展	c=3 d=2.92196 t=528
nat 	懂	c=2 d=1.66365 t=1003
nf 	导	c=1 d=1 t=703
nfc 	层	c=1 d=1 t=527
ng 	那	c=7 d=3.03868 t=575
nj 	慢	c=1 d=1 t=170
nng 	己	c=1 d=1 t=1039
nnh 	书	c=1 d=1 t=38
nnk 	局	c=6 d=5.07481 t=1023
nua 	屏	c=3 d=2.60345 t=130
nui 	飞	c=9 d=3.78495 t=899
ny 	心	c=1 d=1 t=978
nyi 	尺	c=3 d=2.98012 t=547
o 	为	c=4 d=2.28396 t=656
od 	类	c=1 d=1 t=132
odm 	烦	c=1 d=1 t=144
oh 	业	c=1 d=1 t=50
oi 	应	c=2 d=1.9802 t=525
ov 	数	c=8 d=3.62956 t=574
ovrn 	数据	c=1 d=1 t=550
oyt 	米	c=2 d=1.99005 t=545
p 	这	c=4 d=1.30767 t=1028
pb 	字	c=4 d=2.18123 t=593
pg 	家	c=1 d=1 t=522
pgh 	定	c=3 d=1.19122 t=1006
pgn 	写	c=4 d=3.06717 t=389
pgy 	宝	c=1 d=1 t=573
pn 	官	c=1 d=1 t=710
pp 	之	c=4 d=2.43435 t=516
pt 	客	c=1 d=1 t=510
pu 	实	c=4 d=1.09997 t=803
pub 	被	c=1 d=1 t=690
puh 	补	c=1 d=1 t=19
pvs 	案	c=1 d=1 t=458
pw 	空	c=2 d=1.2019 t=553
pww 	容	c=1 d=1 t=248
px 	它	c=4 d=1.87233 t=720
q 	我	c=15 d=4.19892 t=947
qe 	角	c=1 d=1 t=437
qej 	触	c=1 d=1 t=529
qeto 	解释	c=1 d=1 t=8
qev 	解	c=1 d=1 t=938
qg 	钱	c=1 d=1 t=879
qgb 	印	c=2 d=1.43605 t=577
qgf 	鱼	c=1 d=1 t=908
qh 	外	c=2 d=1.9802 t=523
qi 	尔	c=1 d=1 t=541
qk 	名	c=1 d=1 t=735
qkd 	句	c=1 d=1 t=480
qke 	象	c=4 d=3.69184 t=699
qkq 	免	c=3 d=2.86814 t=836
qkxj 	免费	c=2 d=1.93316 t=850
qpge 	镓	c=1 d=1 t=539
qq 	多	c=3 d=1.48136 t=1011
qqq 	金	c=1 d=1 t=542
qtq 	狗	c=1 d=1 t=202
qtyv 	狼	c=9 d=3.77472 t=728
qvgp 	键	c=1 d=1 t=531
r 	的	c=60 d=12.29 t=581
rafp 	摸索	c=1 d=1 t=1040
rc 	反	c=1 d=1 t=709
rcn 	把	c=1 d=1 t=672
refp 	搜索	c=1 d=1 t=210
rg 	后	c=2 d=1.03877 t=1033
rh 	看	c=3 d=2.07496 t=1018
rit 	抄	c=1 d=1 t=658
rj 	提	c=1 d=1 t=956
rkwt 	操作	c=1 d=1 t=262
rn 	所	c=2 d=1.03005 t=923
ro 	扩	c=4 d=3.89241 t=527
roo 	氮	c=1 d=1 t=536
rpv 	按	c=1 d=1 t=528
rq 	换	c=5 d=3.55996 t=683
rry 	拆	c=3 d=2.71668 t=945
rs 	打	c=8 d=3.21192 t=517
rsu 	杀	c=1 d=1 t=772
rt 	手	c=3 d=1.55577 t=736
rtfp 	挺	c=1 d=1 t=674
rto 	播	c=1 d=1 t=876
rua 	拼	c=3 d=1.96467 t=582
ruep 	接受	c=1 d=1 t=213
ruv 	接	c=4 d=2.88121 t=592
rvk 	招	c=1 d=1 t=789
rvy 	执	c=1 d=1 t=325
s 	要	c=12 d=5.15865 t=973
saaa 	模式	c=1 d=1 t=212
sby 	极	c=1 d=1 t=56
sc 	权	c=4 d=1.30394 t=702
sd 	顶	c=2 d=1.03337 t=809
sdw 	棋	c=9 d=4.37164 t=1000
sfi 	标	c=5 d=4.06288 t=490
sg 	本	c=8 d=3.54901 t=595
sglf 	配置	c=1 d=1 t=288
sgt 	酷	c=1 d=1 t=431
sh 	相	c=1 d=1 t=118
shn 	想	c=1 d=1 t=603
sk 	可	c=8 d=5.67114 t=568
sksk 	哥	c=1 d=1 t=203
ssf 	禁	c=2 d=1.99005 t=186
stk 	格	c=1 d=1 t=554
su 	样	c=1 d=1 t=580
sw 	机	c=6 d=2.73173 t=546
swsj 	检查	c=1 d=1 t=400
syu 	榜	c=1 d=1 t=601
t 	和	c=3 d=1.84048 t=734
ta 	长	c=2 d=1.90484 t=640
tbp 	透	c=1 d=1 t=808
tc 	么	c=2 d=1.90937 t=1029
tdut 	知道	c=3 d=1.38611 t=1026
teb 	笔	c=2 d=1.70469 t=72
tfkd 	靠	c=1 d=1 t=51
tg 	年	c=3 d=1.60883 t=731
tgm 	制	c=2 d=1.7827 t=215
tgs 	行	c=15 d=1.51516 t=1032
th 	处	c=1 d=1 t=764
tha 	算	c=3 d=1.45719 t=979
thd 	自	c=7 d=1.20403 t=1038
thdc 	段	c=5 d=1.43488 t=783
thfn 	怎	c=1 d=1 t=579
thgc 	版	c=1 d=1 t=17
thn 	息	c=1 d=1 t=413
thtc 	怎么	c=4 d=2.13079 t=695
tie 	稍	c=1 d=1 t=760
tj 	得	c=5 d=2.40301 t=748
tjh 	利	c=1 d=1 t=602
tjt 	复	c=4 d=1.76206 t=995
tk 	各	c=1 d=1 t=13
tkgg 	程	c=5 d=2.97491 t=569
tkw 	积	c=1 d=1 t=599
tl 	备	c=1 d=1 t=583
tmd 	射	c=1 d=1 t=714
tmg 	微	c=1 d=1 t=761
tmk 	向	c=2 d=1.21654 t=514
tnp 	追	c=1 d=1 t=54
toyc 	翻译	c=2 d=1.32628 t=644
tpn 	管	c=2 d=1.90937 t=191
tq 	稳	c=1 d=1 t=634
trgd 	循环	c=2 d=1.97045 t=335
tul 	盘	c=1 d=1 t=932
tuud 	箭头	c=1 d=1 t=694
tvy 	很	c=5 d=2.25981 t=910
twf 	符	c=3 d=2.11402 t=594
tx 	每	c=5 d=4.29553 t=311
txh 	第	c=2 d=1.90032 t=371
ty 	入	c=4 d=2.1778 t=724
ua 	并	c=2 d=1.27665 t=575
uddy 	状态	c=1 d=1 t=632
udu 	关	c=1 d=1 t=65
ue 	前	c=2 d=1.76721 t=732
uh 	着	c=2 d=1.3413 t=1015
ujf 	音	c=1 d=1 t=4
ujfj 	单	c=5 d=2.90844 t=580
ujln 	意思	c=4 d=3.00432 t=886
ujyr 	意义	c=1 d=1 t=869
uk 	问	c=2 d=1.85642 t=604
ukb 	部	c=2 d=1.9802 t=524
ukjg 	问题	c=2 d=1.26847 t=781
um 	端	c=2 d=1.62189 t=512
uoo 	痰	c=1 d=1 t=535
uq 	次	c=2 d=1.80252 t=336
uqf 	将	c=4 d=1.83501 t=555
ur 	交	c=2 d=1.97045 t=682
usr 	新	c=1 d=1 t=298
uxhp 	递	c=1 d=1 t=385
uy 	六	c=2 d=1.96079 t=561
uyh 	门	c=1 d=1 t=627
v 	发	c=2 d=1.40052 t=713
vb 	好	c=12 d=6.5338 t=585
vi 	录	c=1 d=1 t=720
vk 	如	c=3 d=1.8883 t=615
vkjs 	如果	c=3 d=1.62453 t=405
vp 	退	c=1 d=1 t=593
vs 	杂	c=1 d=1 t=996
vtku 	群	c=1 d=1 t=514
w 	人	c=3 d=2.18276 t=204
wa 	代	c=1 d=1 t=663
wb 	他	c=1 d=1 t=660
wbqd 	仍然	c=1 d=1 t=650
wc 	公	c=1 d=1 t=533
wdn 	优	c=1 d=1 t=430
wdt 	做	c=2 d=1.96079 t=643
wdyf 	估计	c=1 d=1 t=635
wfc 	会	c=1 d=1 t=532
wfhg 	值	c=1 d=1 t=596
wfn 	传	c=1 d=1 t=384
wftc 	什么	c=9 d=3.51169 t=966
wg 	全	c=3 d=1.18782 t=794
wgbg 	登陆	c=1 d=1 t=520
wgk 	使	c=3 d=1.2784 t=651
wgkr 	拿	c=2 d=1.22993 t=974
wgku 	登	c=1 d=1 t=631
wgu 	侠	c=2 d=1.95123 t=432
wgwy 	命令	c=9 d=4.21655 t=571
wh 	个	c=17 d=3.92047 t=576
wq 	你	c=3 d=2.86873 t=538
wqk 	像	c=1 d=1 t=727
wtg 	件	c=21 d=7.45001 t=726
wtn 	几	c=3 d=2.97516 t=27
wtte 	任务	c=1 d=1 t=494
wu 	们	c=3 d=1.6795 t=871
wug 	位	c=2 d=1.02128 t=784
wv 	分	c=1 d=1 t=600
wvp 	侵	c=1 d=1 t=701
wvsr 	分析	c=4 d=1.22597 t=845
ww 	从	c=2 d=1.30575 t=691
wx 	化	c=1 d=1 t=537
wxf 	华	c=3 d=2.88362 t=482
x 	经	c=1 d=1 t=104
xan 	练	c=1 d=1 t=976
xe 	组	c=2 d=1.98511 t=277
xg 	线	c=5 d=2.63441 t=917
xh 	引	c=1 d=1 t=381
xjm 	费	c=3 d=2.52999 t=878
xk 	强	c=1 d=1 t=675
xq 	约	c=2 d=1.90484 t=641
xtu 	终	c=1 d=1 t=416
xw 	给	c=5 d=2.12478 t=638
